UCAV,GRMA,RHON,GR_RAB,BPHI,TNPH,RES_BD,P16B,A40B,VSH,VCO
10.0525,57.86151,1.797959,81.80809,55.931,58.1107,1.446812,1.47128,1.524075,,
10.07012,56.95781,1.794604,81.12076,56.1852,58.4153,1.396059,1.475389,1.528251,,
10.05594,56.22856,1.799409,83.04529,54.2073,55.1198,1.596409,1.48222,1.530444,,
10.03656,56.56022,1.808561,84.86722,59.4082,65.3823,1.425907,1.501598,1.544125,,
9.990001,58.23293,1.843159,85.16404,50.2102,50.2355,1.665696,1.508329,1.547897,,
9.914171,58.89351,1.861875,85.10891,50.1249,50.825,1.422153,1.523329,1.55813,,
9.799913,63.11877,1.884951,86.55328,47.714,47.8131,1.474947,1.531731,1.567071,,
9.743756,62.76916,1.903308,86.8592,46.9901,47.3326,1.460222,1.546722,1.57718,,
9.713443,62.62586,1.919097,83.07053,47.8112,49.2259,1.520703,1.557751,1.584993,,
9.516221,59.27056,1.924903,83.94741,48.614,50.7795,1.68689,1.58377,1.589884,,
9.391255,59.69227,1.935515,88.18933,46.3861,47.5256,1.713461,1.594882,1.593458,,
9.421606,60.46909,1.933219,88.64372,46.8062,48.1152,1.441921,1.597491,1.607,,
9.416874,63.97395,1.930843,85.42434,44.8264,44.9339,1.548548,1.607758,1.602201,,
9.41625,63.39664,1.925679,82.71199,45.8923,46.3987,1.879648,1.600613,1.607577,,
9.406881,64.54173,1.9037,81.78544,46.9516,47.284,2.051037,1.592412,1.610704,,
9.505007,62.80975,1.896152,80.40356,48.2872,49.1384,1.62288,1.573535,1.611795,,
9.715209,62.02343,1.899393,79.63076,52.0122,55.6471,1.649586,1.556463,1.614232,,
9.816956,63.56841,1.897081,79.42109,48.3369,49.2546,1.993377,1.558216,1.602224,,
9.812707,62.07481,1.897285,80.75719,50.2409,52.4363,1.900487,1.562682,1.607434,,
9.781391,61.5561,1.901581,84.09442,49.0841,50.654,1.619436,1.563097,1.601334,,
9.747325,58.9493,1.902297,86.81223,45.1897,44.538,1.703933,1.570941,1.606068,,
9.747191,60.21744,1.910957,86.13531,44.4686,43.75,1.668953,1.572015,1.605036,,
9.763515,61.1567,1.911852,82.90129,47.864,49.0399,1.587142,1.571047,1.609015,,
9.829597,58.19094,1.906908,82.0355,50.267,52.8777,1.698283,1.576963,1.61001,,
9.681824,59.06141,1.901556,83.98329,47.1714,47.5542,1.755977,1.577356,1.612766,,
9.928428,57.17545,1.905832,83.77966,49.2204,51.0488,1.850677,1.586344,1.614386,,
9.691723,58.73677,1.911163,81.37113,45.408,45.1622,1.71189,1.588108,1.615182,,
9.735621,56.61463,1.906346,81.36609,46.1519,46.1341,1.89578,1.575212,1.621052,,
9.672288,58.68968,1.896392,81.72418,47.5306,47.9356,1.710617,1.586242,1.618102,,
9.547501,59.7464,1.894144,80.94479,47.0556,47.1086,1.646932,1.591537,1.619877,,
9.732674,59.41657,1.87734,82.37103,49.0506,49.6664,1.619982,1.59372,1.625926,,
9.850243,59.0281,1.857661,82.85378,50.083,50.5907,1.564343,1.593179,1.625467,,
9.684838,57.11293,1.84429,82.00078,49.4974,49.1365,1.678534,1.590469,1.629045,,
